metric,estimate,ci_lower,ci_upper,bootstrap_iterations
auroc,0.859083934435633,0.8348519538260905,0.8831121854451062,2000
auprc,0.8659125585838905,0.831353879542762,0.9002617390180128,2000
balanced_accuracy,0.7835290799669214,0.7573804536400631,0.8096365729520696,2000
brier,0.15168759318905323,0.13887044806797164,0.16409713035704526,2000
sensitivity,0.8055009823182712,0.7724618064100865,0.8406374501992032,2000
specificity,0.7615571776155717,0.7215770239827419,0.802384719710669,2000
